K2 MAC Lookup,K2 Host Name,K2 IP Address,Labstats Host Name VS K2 MAC,Labstats IP Address VS K2 MAC,IP MissMatch,Name Match,Column1,Column2,Column3
C8:1F:66:B6:EC:EF,ITS8803WK-W7,172.22.133.40,WINDOWS-B2LC4AK,172.22.133.40,Match,No Match,0c:4d:e9:d1:89:07,#VALUE!,#VALUE!
C8:1F:66:B5:4C:4B,ITS8804WK-W7,172.22.133.41,WINDOWS-LPTS0PT,172.22.133.41,Match,No Match,0c:4d:e9:d3:cc:31,#VALUE!,#VALUE!
C8:1F:66:B6:FB:7D,ITS8805WK-W7,172.22.133.42,WINDOWS-B7QG75G,172.22.133.42,Match,No Match,0c:4d:e9:9c:30:4a,#VALUE!,#VALUE!
C8:1F:66:B6:EE:A7,ITS806WK-W7,172.22.133.43,WINDOWS-KEQ9K5F,172.22.133.43,Match,No Match,0c:4d:e9:9c:6b:f8,#VALUE!,#VALUE!
C8:1F:66:B6:A0:42,ITS8807WK-W7,172.22.133.44,WINDOWS-0EMG8UN,172.22.133.44,Match,No Match,0c:4d:e9:9c:9d:79,#VALUE!,#VALUE!
C8:1F:66:B6:F1:E0,WINDOWS-JUOCLRT,172.22.133.45,WINDOWS-C29QQT9,172.22.133.45,Match,No Match,0c:4d:e9:9c:6d:b5,#VALUE!,#VALUE!
C8:1F:66:B5:4C:6E,ITS8812WK-W7,172.22.133.46,WINDOWS-M3FR9VQ,172.22.133.46,Match,No Match,0c:4d:e9:9c:6a:36,#VALUE!,#VALUE!
C8:1F:66:B5:4C:3B,ITS8811WK-W7,172.22.133.47,WINDOWS-U9NQ1K4,172.22.133.47,Match,No Match,0c:4d:e9:9c:3b:6b,#VALUE!,#VALUE!
C8:1F:66:B6:F1:C8,ITS8810WK-W7,172.22.133.48,WINDOWS-2G0UL5T,172.22.133.48,Match,No Match,0c:4d:e9:9d:18:e1,#VALUE!,#VALUE!
C8:1F:66:B5:4B:F6,ITS8809WK-W7,172.22.133.49,WINDOWS-FHUE9AK,172.22.133.49,Match,No Match,0c:4d:e9:9c:3e:50,#VALUE!,#VALUE!
0C:4D:E9:9E:F7:39,ITS8941WK-MX,172.22.133.5,its8941wk-mx.local,172.22.133.5,Match,No Match,0c:4d:e9:9c:37:d4,#VALUE!,#VALUE!
C8:1F:66:B5:4C:63,ITS8808WK-W7,172.22.133.50,WINDOWS-ITMKNGI,172.22.133.50,Match,No Match,0c:4d:e9:9c:6c:2b,#VALUE!,#VALUE!
74:E6:E2:E1:5E:94,ITS8793WK-W7,172.22.133.53,WINDOWS-MTHFUJU,172.22.133.53,Match,No Match,0c:4d:e9:9d:1b:a9,#VALUE!,#VALUE!
0C:4D:E9:9E:8E:9F,ITS8942WK-MX,172.22.133.6,its8942wk-mx.local,172.22.133.6,Match,No Match,0c:4d:e9:9c:36:9e,#VALUE!,#VALUE!
34:17:EB:A4:FC:19,ITS8449WK-W7,172.22.133.63,ITS8450WK-W7,172.22.133.63,Match,No Match,0c:4d:e9:9c:3b:56,#VALUE!,#VALUE!
34:17:EB:A4:FC:19,ITS8449WK-W7,172.22.133.63,ITS8450WK-W7,172.22.133.63,Match,No Match,0c:4d:e9:9c:41:0f,#VALUE!,#VALUE!
34:17:EB:A5:4B:B6,UDIADMI-3LQ95OM,172.22.133.64,UDIADMI-UG9DG8U,172.22.133.64,Match,No Match,0c:4d:e9:9c:34:e1,#VALUE!,#VALUE!
34:17:EB:A4:F9:C1,ITS8451WK-W10,172.22.133.65,ITS8451WK-W7,172.22.133.65,Match,No Match,0c:4d:e9:9c:33:ac,#VALUE!,#VALUE!
34:17:EB:A4:F9:C1,ITS8451WK-W10,172.22.133.65,ITS8451WK-W7,172.22.133.65,Match,No Match,0c:4d:e9:9c:36:42,#VALUE!,#VALUE!
34:17:EB:A4:FB:66,ITS8452WK-W10,172.22.133.66,ITS8452WK-W7,172.22.133.66,Match,No Match,0c:4d:e9:9c:75:e7,#VALUE!,#VALUE!
34:17:EB:A4:FB:66,ITS8452WK-W10,172.22.133.66,ITS8452WK-W7,172.22.133.66,Match,No Match,0c:4d:e9:9c:36:a0,#VALUE!,#VALUE!
34:17:EB:B1:EE:99,ITS8453WK-W10,172.22.133.67,ITS8453WK-W7,172.22.133.67,Match,No Match,0c:4d:e9:9c:69:a1,#VALUE!,#VALUE!
34:17:EB:B1:EE:99,ITS8453WK-W10,172.22.133.67,ITS8453WK-W7,172.22.133.67,Match,No Match,68:5b:35:a4:5a:f3,#VALUE!,#VALUE!
34:17:EB:B1:EC:DE,ITS8454WK-W10,172.22.133.68,ITS8454WK-W7,172.22.133.68,Match,No Match,68:5b:35:a4:57:5d,#VALUE!,#VALUE!
34:17:EB:B1:EC:DE,ITS8454WK-W10,172.22.133.68,ITS8454WK-W7,172.22.133.68,Match,No Match,68:5b:35:a4:56:59,#VALUE!,#VALUE!
34:17:EB:B1:90:76,ITS8455WK-W10,172.22.133.69,ITS8455WK-W7,172.22.133.69,Match,No Match,68:5b:35:a4:56:6e,#VALUE!,#VALUE!
34:17:EB:B1:90:76,ITS8455WK-W10,172.22.133.69,ITS8455WK-W7,172.22.133.69,Match,No Match,68:5b:35:a4:50:08,#VALUE!,#VALUE!
0C:4D:E9:9F:17:A6,ITS8943WK-MX,172.22.133.7,its8943wk-mx.local,172.22.133.7,Match,No Match,68:5b:35:a4:56:a9,#VALUE!,#VALUE!
34:17:EB:B1:EE:1A,ITS8456WK-W10,172.22.133.70,ITS8456WK-W7,172.22.133.70,Match,No Match,68:5b:35:a4:55:50,#VALUE!,#VALUE!
34:17:EB:B1:EE:1A,ITS8456WK-W10,172.22.133.70,ITS8456WK-W7,172.22.133.70,Match,No Match,68:5b:35:a3:d3:3f,#VALUE!,#VALUE!
34:17:EB:B1:94:99,ITS8457WK-W7,172.22.133.71,ITS8457WK-W7,172.22.133.71,Match,Match,68:5b:35:7f:55:a5,#VALUE!,#VALUE!
34:17:EB:B1:94:99,ITS8457WK-W7,172.22.133.71,ITS8457WK-W7,172.22.133.71,Match,Match,68:5b:35:a3:f6:02,#VALUE!,#VALUE!
34:17:EB:AF:DF:2D,ITS8458WK-W10,172.22.133.72,UDIADMI-0VO728J,172.22.133.72,Match,No Match,0c:4d:e9:9d:0e:3f,#VALUE!,#VALUE!
34:17:EB:AF:DF:2D,ITS8458WK-W10,172.22.133.72,UDIADMI-0VO728J,172.22.133.72,Match,No Match,68:5b:35:7f:56:8a,#VALUE!,#VALUE!
34:17:EB:B1:49:6D,ITS8459WK-W10,172.22.133.73,ITS8459WK-W7,172.22.133.73,Match,No Match,68:5b:35:a3:d3:5e,#VALUE!,#VALUE!
34:17:EB:B1:49:6D,ITS8459WK-W10,172.22.133.73,ITS8459WK-W7,172.22.133.73,Match,No Match,0c:4d:e9:9c:36:ce,#VALUE!,#VALUE!
34:17:EB:B2:5A:1B,ITS8460WK-W10,172.22.133.74,ITS8460WK-W7,172.22.133.74,Match,No Match,0c:4d:e9:9c:32:30,#VALUE!,#VALUE!
34:17:EB:B2:5A:1B,ITS8460WK-W10,172.22.133.74,ITS8460WK-W7,172.22.133.74,Match,No Match,0c:4d:e9:9e:e7:bb,#VALUE!,#VALUE!
34:17:EB:B1:EA:FD,ITS8461WK-W10,172.22.133.75,UDIADMI-8IC939N,172.22.133.75,Match,No Match,68:5b:35:80:da:f1,#VALUE!,#VALUE!
34:17:EB:B1:EA:FD,ITS8461WK-W10,172.22.133.75,UDIADMI-8IC939N,172.22.133.75,Match,No Match,10:dd:b1:ba:24:be,#VALUE!,#VALUE!
34:17:EB:B1:51:F0,ITS8462WK-W7,172.22.133.76,ITS8462WK-W7,172.22.133.76,Match,Match,68:5b:35:7f:5a:3d,#VALUE!,#VALUE!
34:17:EB:B1:51:F0,ITS8462WK-W7,172.22.133.76,ITS8462WK-W7,172.22.133.76,Match,Match,0c:4d:e9:9c:39:33,#VALUE!,#VALUE!
34:17:EB:B1:79:87,ITS8463WK-W7,172.22.133.77,UDIADMI-N1JVJMD,172.22.133.77,Match,No Match,38:c9:86:42:16:9d,#VALUE!,#VALUE!
34:17:EB:B1:79:87,ITS8463WK-W7,172.22.133.77,UDIADMI-N1JVJMD,172.22.133.77,Match,No Match,0c:4d:e9:9e:e8:65,#VALUE!,#VALUE!
0C:4D:E9:9E:FB:EC,ITS8944WK-MX,172.22.133.8,its8944wk-mx.local,172.22.133.8,Match,No Match,C8:1F:66:B1:86:D3,#VALUE!,#VALUE!
0C:4D:E9:9E:F2:A6,ITS8945WK-MX,172.22.133.9,its8945wk-mx.local,172.22.133.9,Match,No Match,C8:1F:66:B5:4C:51,#VALUE!,#VALUE!
34:17:EB:C0:9E:25,242-CONF-RM,172.22.142.24,#N/A,#N/A,#N/A,#N/A,C8:1F:66:B6:FC:6C,#VALUE!,#VALUE!
0C:4D:E9:9E:E5:69,ITS8932WK-MX,172.22.150.16,its8932wk-mx.local,172.22.150.16,Match,No Match,C8:1F:66:B6:F1:3C,#VALUE!,#VALUE!
0C:4D:E9:9E:E8:F7,ITS8933WK-MX,172.22.150.17,its8933wk-mx.local,172.22.150.17,Match,No Match,C8:1F:66:B6:F1:A4,#VALUE!,#VALUE!
0C:4D:E9:9E:F5:EB,ITS8935WK-MX,172.22.150.21,silver-903-kiosk1.pubterm.nyu.edu,172.22.150.21,Match,No Match,C8:1F:66:B5:4C:00,#VALUE!,#VALUE!
0C:4D:E9:9E:B7:83,ITS8936WK-MX,172.22.150.22,its8936wk-mx.local,172.22.150.22,Match,No Match,C8:1F:66:B5:4C:0C,#VALUE!,#VALUE!
0C:4D:E9:9E:E8:74,ITS8937WK-MX,172.22.150.23,ITS8937WK-MX,172.22.150.23,Match,Match,C8:1F:66:B6:FC:A4,#VALUE!,#VALUE!
0C:4D:E9:9E:E4:88,ITS8938WK-MX,172.22.150.24,its8938wk-mx.local,172.22.150.24,Match,No Match,C8:1F:66:B5:4B:B2,#VALUE!,#VALUE!
0C:4D:E9:9E:E7:CB,ITS8939WK-MX,172.22.150.27,its8939wk-mx.local,172.22.150.27,Match,No Match,C8:1F:66:B6:F1:EB,#VALUE!,#VALUE!
0C:4D:E9:9E:DA:38,ITS8883WK-MX,172.22.150.5,gsas-imac-01.pubterm.nyu.edu,172.22.150.5,Match,No Match,C8:1F:66:B6:9F:FD,#VALUE!,#VALUE!
0C:4D:E9:9E:DF:AC,ITS8884WK-MX,172.22.150.6,ITS8884WK-MX,172.22.150.6,Match,Match,C8:1F:66:B5:4C:2D,#VALUE!,#VALUE!
0C:4D:E9:9E:DE:79,ITS8885WK-MX,172.22.150.7,ITS8885WK-MX,172.22.150.7,Match,Match,C8:1F:66:B6:F4:04,#VALUE!,#VALUE!
0C:4D:E9:9E:8B:24,ITS8886WK-MX,172.22.150.8,ITS8886WK-MX,172.22.150.8,Match,Match,C8:1F:66:B5:4C:24,#VALUE!,#VALUE!
0C:4D:E9:9E:E0:19,ITS8887WK-MX,172.22.150.9,its8887wk-mx.local,172.22.150.9,Match,No Match,C8:1F:66:B6:F6:25,#VALUE!,#VALUE!
0C:4D:E9:D2:6B:31,ITS8514WK-MX,172.22.154.10,its8514wk-mx.local,172.22.154.10,Match,No Match,C8:1F:66:B4:31:8B,#VALUE!,#VALUE!
0C:4D:E9:D1:C6:40,ITS8515WK-MX,172.22.154.11,its8515wk-mx.local,172.22.154.11,Match,No Match,C8:1F:66:B6:9C:BF,#VALUE!,#VALUE!
0C:4D:E9:D3:BD:FF,ITS8516WK-MX,172.22.154.12,ITS8516WK-MX,172.22.154.12,Match,Match,C8:1F:66:B5:7F:8A,#VALUE!,#VALUE!
0C:4D:E9:D2:26:2C,ITS8517WK-MX,172.22.154.13,its8517wk-mx.local,172.22.154.13,Match,No Match,C8:1F:66:B6:FD:BC,#VALUE!,#VALUE!
34:17:EB:B1:77:B5,ITS8405WK-W7,172.22.154.220,UDIADMI-HK443O2,172.22.154.220,Match,No Match,C8:1F:66:B6:9F:B2,#VALUE!,#VALUE!
34:17:EB:B1:77:B5,ITS8405WK-W7,172.22.154.220,UDIADMI-HK443O2,172.22.154.220,Match,No Match,C8:1F:66:B5:4C:0E,#VALUE!,#VALUE!
34:17:EB:B1:73:D0,ITS8406WK-W7,172.22.154.221,UDIADMI-9N15DJV,172.22.154.221,Match,No Match,C8:1F:66:B6:6C:C5,#VALUE!,#VALUE!
34:17:EB:B1:73:D0,ITS8406WK-W7,172.22.154.221,UDIADMI-9N15DJV,172.22.154.221,Match,No Match,C8:1F:66:B6:A0:92,#VALUE!,#VALUE!
34:17:EB:AF:D2:D0,ITS8407WK-W7,172.22.154.223,UDIADMI-4KK4TLG,172.22.154.223,Match,No Match,C8:1F:66:B6:F1:D4,#VALUE!,#VALUE!
34:17:EB:AF:D2:D0,ITS8407WK-W7,172.22.154.223,UDIADMI-4KK4TLG,172.22.154.223,Match,No Match,72:14:A6:46:E9:CD-C8:1F:66:B6:FD:6A,72:14:A6:46:E9:CD,#VALUE!
34:17:EB:B1:95:14,ITS8408WK-W7,172.22.154.224,UDIADMI-RAOD72Q,172.22.154.224,Match,No Match,C8:1F:66:B6:EC:EF,#VALUE!,#VALUE!
34:17:EB:B1:95:14,ITS8408WK-W7,172.22.154.224,UDIADMI-RAOD72Q,172.22.154.224,Match,No Match,C8:1F:66:B5:4C:4B,#VALUE!,#VALUE!
34:17:EB:B1:48:EB,ITS8409WK-W7,172.22.154.225,UDIADMI-53IJD65,172.22.154.225,Match,No Match,C8:1F:66:B6:FB:7D,#VALUE!,#VALUE!
34:17:EB:B1:48:EB,ITS8409WK-W7,172.22.154.225,UDIADMI-53IJD65,172.22.154.225,Match,No Match,C8:1F:66:B6:EE:A7,#VALUE!,#VALUE!
68:5B:35:A3:F6:F4,ITS8511WK-MX,172.22.154.7,its8511wk-mx.local,172.22.154.7,Match,No Match,C8:1F:66:B6:A0:42,#VALUE!,#VALUE!
0C:4D:E9:D1:7D:21,ITS8512WK-MX,172.22.154.8,its8512wk-mx.local,172.22.154.8,Match,No Match,C8:1F:66:B6:F1:E0,#VALUE!,#VALUE!
0C:4D:E9:D1:81:4C,ITS8513WK-MX,172.22.154.9,239gre-arc-kiosk3.sts.its.nyu.edu,172.22.154.9,Match,No Match,C8:1F:66:B5:4C:6E,#VALUE!,#VALUE!
90:B1:1C:A1:E5:97,ITS8355WK-W7,172.22.16.170,#N/A,#N/A,#N/A,#N/A,C8:1F:66:B5:4C:3B,#VALUE!,#VALUE!
B8:CA:3A:74:58:EC,ITS8356WK-W7,172.22.16.171,#N/A,#N/A,#N/A,#N/A,C8:1F:66:B6:F1:C8,#VALUE!,#VALUE!
90:B1:1C:A3:D8:E1,ITS8352WK-W7,172.22.16.172,#N/A,#N/A,#N/A,#N/A,C8:1F:66:B5:4B:F6,#VALUE!,#VALUE!
90:B1:1C:A3:D4:92,ITS8350WK-W7,172.22.16.173,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:9e:f7:39,#VALUE!,#VALUE!
90:B1:1C:A3:D6:CA,ITS8354WK-W7,172.22.16.175,#N/A,#N/A,#N/A,#N/A,C8:1F:66:B5:4C:63,#VALUE!,#VALUE!
90:B1:1C:A1:DB:83,ITS8361WK-W7,172.22.16.178,#N/A,#N/A,#N/A,#N/A,74:E6:E2:E1:5E:94,#VALUE!,#VALUE!
90:B1:1C:A3:D8:CC,ITS8359WK-W7,172.22.16.179,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:9e:8e:9f,#VALUE!,#VALUE!
90:B1:1C:A1:D9:07,ITS8357WK-W7,172.22.16.180,#N/A,#N/A,#N/A,#N/A,34:17:EB:A4:FC:19,#VALUE!,#VALUE!
B8:CA:3A:74:70:06,ITS8375WK-W7,172.22.16.181,#N/A,#N/A,#N/A,#N/A,34:17:EB:A5:4B:B6,#VALUE!,#VALUE!
90:B1:1C:A3:D6:6C,ITS8364WK-W7,172.22.16.182,#N/A,#N/A,#N/A,#N/A,34:17:EB:A4:F9:C1,#VALUE!,#VALUE!
90:B1:1C:A3:D6:EA,ITS8362WK-W7,172.22.16.183,#N/A,#N/A,#N/A,#N/A,34:17:EB:A4:FB:66,#VALUE!,#VALUE!
B8:CA:3A:74:54:28,ITS8348WK-W7,172.22.16.184,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:EE:99,#VALUE!,#VALUE!
90:B1:1C:A3:D3:1A,ITS8399WK-W7,172.22.16.185,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:EC:DE,#VALUE!,#VALUE!
B8:CA:3A:74:54:71,ITS8397WK-W7,172.22.16.186,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:90:76,#VALUE!,#VALUE!
90:B1:1C:A1:DB:44,ITS8398WK-W7,172.22.16.187,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:9f:17:a6,#VALUE!,#VALUE!
90:B1:1C:A1:E2:92,ITS8363WK-W7,172.22.16.188,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:EE:1A,#VALUE!,#VALUE!
90:B1:1C:A3:D4:7F,ITS8351WK-W7,172.22.16.189,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:94:99,#VALUE!,#VALUE!
34:17:EB:A5:7B:30,ITS8429WK-W10,172.22.16.200,ITS8429WK-W10,172.22.16.200,Match,Match,34:17:EB:AF:DF:2D,#VALUE!,#VALUE!
34:17:EB:A5:79:70,ITS8430WK-W10,172.22.16.201,ITS8430WK-W10,172.22.16.201,Match,Match,34:17:EB:B1:49:6D,#VALUE!,#VALUE!
34:17:EB:B1:EA:C3,ITS8432WK-W10,172.22.16.203,ITS8432WK-W10,172.22.16.203,Match,Match,34:17:EB:B2:5A:1B,#VALUE!,#VALUE!
34:17:EB:A5:BD:5F,ITS8354WK-W10,172.22.16.204,ITS8433WK-W10,172.22.16.204,Match,No Match,34:17:EB:B1:EA:FD,#VALUE!,#VALUE!
34:17:EB:B1:EC:4A,ITS8434WK-W10,172.22.16.205,ITS8434WK-W10,172.22.16.205,Match,Match,34:17:EB:B1:51:F0,#VALUE!,#VALUE!
34:17:EB:A5:C2:1B,ITS8435WK-W10,172.22.16.206,WINDOWS-9F80A7M,172.22.16.206,Match,No Match,34:17:EB:B1:79:87,#VALUE!,#VALUE!
34:17:EB:A4:FC:66,ITS8436WK-W10,172.22.16.207,ITS8436WK-W10,172.22.16.207,Match,Match,0c:4d:e9:9e:fb:ec,#VALUE!,#VALUE!
34:17:EB:A4:FC:E9,ITS8438WK-W10,172.22.16.209,ITS8438WK-W10,172.22.16.209,Match,Match,0c:4d:e9:9e:f2:a6,#VALUE!,#VALUE!
34:17:EB:A5:BC:64,ITS8447WK-W10,172.22.16.210,ITS8439WK-W10,172.22.16.210,Match,No Match,0c:4d:e9:9e:e5:69,#VALUE!,#VALUE!
34:17:EB:A5:B9:D0,ITS8440WK-W10,172.22.16.211,ITS8440WK-W10,172.22.16.211,Match,Match,0c:4d:e9:9e:e8:f7,#VALUE!,#VALUE!
34:17:EB:A4:F8:DD,ITS8441WK-W10,172.22.16.212,ITS8441WK-W10,172.22.16.212,Match,Match,0c:4d:e9:9e:f5:eb,#VALUE!,#VALUE!
34:17:EB:B1:EF:24,ITS8442WK-W10,172.22.16.213,ITS8442WK-W10,172.22.16.213,Match,Match,0c:4d:e9:9e:b7:83,#VALUE!,#VALUE!
34:17:EB:B1:79:18,ITS8443WK-W10,172.22.16.214,ITS8443WK-W10,172.22.16.214,Match,Match,0c:4d:e9:9e:e8:74,#VALUE!,#VALUE!
34:17:EB:B1:EB:E4,ITS8444WK-W10,172.22.16.215,ITS8444WK-W10,172.22.16.215,Match,Match,0c:4d:e9:9e:e4:88,#VALUE!,#VALUE!
34:17:EB:B1:ED:7D,ITS8445WK-W10,172.22.16.216,ITS8445WK-W10,172.22.16.216,Match,Match,0c:4d:e9:9e:e7:cb,#VALUE!,#VALUE!
34:17:EB:A5:72:7B,ITS8446WK-W10,172.22.16.217,ITS8446WK-W10,172.22.16.217,Match,Match,0c:4d:e9:9e:da:38,#VALUE!,#VALUE!
34:17:EB:B1:72:24,ITS8439WK-W10,172.22.16.218,ITS8447WK-W10,172.22.16.218,Match,No Match,0c:4d:e9:9e:df:ac,#VALUE!,#VALUE!
34:17:EB:B2:67:0D,ITS8448WK-W10,172.22.16.219,ITS8448WK-W10,172.22.16.219,Match,Match,0c:4d:e9:9e:de:79,#VALUE!,#VALUE!
34:17:EB:A5:7A:20,UDIADMI-U00LKSQ,172.22.16.220,UDIADMI-U00LKSQ,172.22.16.220,Match,Match,0c:4d:e9:9e:8b:24,#VALUE!,#VALUE!
34:17:EB:D4:B1:1D,ITS8581WK-W7,172.22.16.40,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:9e:e0:19,#VALUE!,#VALUE!
0C:4D:E9:9C:38:C5,ITS8951WK-MX,172.22.165.5,its8951wk-mx.local,172.22.165.5,Match,No Match,0c:4d:e9:d2:6b:31,#VALUE!,#VALUE!
0C:4D:E9:9D:11:E4,ITS8952WK-MX,172.22.165.6,its8952wk-mx.local,172.22.165.6,Match,No Match,0c:4d:e9:d1:c6:40,#VALUE!,#VALUE!
0C:4D:E9:9D:10:DF,ITS8953WK-MX,172.22.165.7,its8953wk-mx.local,172.22.165.7,Match,No Match,0c:4d:e9:d3:bd:ff,#VALUE!,#VALUE!
0C:4D:E9:9D:0F:5E,ITS8954WK-MX,172.22.165.8,its8954wk-mx.local,172.22.165.8,Match,No Match,0c:4d:e9:d2:26:2c,#VALUE!,#VALUE!
0C:4D:E9:9E:DE:45,ITS8801WK-MX,172.22.171.5,10astor-4thfl-kiosk01.pubterm.nyu.edu,172.22.171.5,Match,No Match,34:17:EB:B1:77:B5,#VALUE!,#VALUE!
0C:4D:E9:9E:DA:CE,ITS8802WK-MX,172.22.171.6,10astor-4thfl-kiosk02.pubterm.nyu.edu,172.22.171.6,Match,No Match,34:17:EB:B1:73:D0,#VALUE!,#VALUE!
0C:4D:E9:D1:84:0A,ITS8661WK-MX,172.22.175.154,#N/A,#N/A,#N/A,#N/A,34:17:EB:AF:D2:D0,#VALUE!,#VALUE!
0C:4D:E9:D1:7F:A6,ITS8662WK-MX,172.22.175.155,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:95:14,#VALUE!,#VALUE!
0C:4D:E9:D3:C1:33,ITS8663WK-MX,172.22.175.156,#N/A,#N/A,#N/A,#N/A,34:17:EB:B1:48:EB,#VALUE!,#VALUE!
0C:4D:E9:D1:7D:B1,ITS8664WK-MX,172.22.175.157,#N/A,#N/A,#N/A,#N/A,68:5b:35:a3:f6:f4,#VALUE!,#VALUE!
0C:4D:E9:D1:D2:BE,ITS8665WK-MX,172.22.175.158,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:d1:7d:21,#VALUE!,#VALUE!
0C:4D:E9:D1:80:6C,ITS8666WK-MX,172.22.175.159,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:d1:81:4c,#VALUE!,#VALUE!
0C:4D:E9:D3:B7:F4,ITS8667WK-MX,172.22.175.160,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:74:CF,#VALUE!,#VALUE!
0C:4D:E9:D3:C9:9C,ITS8668WK-MX,172.22.175.161,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:61:7C,#VALUE!,#VALUE!
0C:4D:E9:D3:CE:10,ITS8669WK-MX,172.22.175.162,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:65:ED,#VALUE!,#VALUE!
0C:4D:E9:D3:C9:56,ITS8670WK-MX,172.22.175.163,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:8D:6B,#VALUE!,#VALUE!
0C:4D:E9:D1:7F:DB,ITS8671WK-MX,172.22.175.180,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:67:C6,#VALUE!,#VALUE!
0C:4D:E9:D3:B9:51,ITS8672WK-MX,172.22.175.181,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:7C:22,#VALUE!,#VALUE!
A8:20:66:05:AB:6C,GRISUM2014,172.22.19.16,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:70:A0,#VALUE!,#VALUE!
A8:20:66:06:7D:9A,NYU-DC-GRI-iMac-07,172.22.19.18,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:6A:BE,#VALUE!,#VALUE!
B8:CA:3A:84:A7:0A,ITS8426WK-W7,172.22.202.11,#N/A,#N/A,#N/A,#N/A,14:B3:1F:00:6B:79,#VALUE!,#VALUE!
18:66:DA:25:E7:09,UDIADMI-J5PRNB1,172.22.202.254,ITS8426WK-W10,172.22.202.254,Match,No Match,14:B3:1F:00:66:7E,#VALUE!,#VALUE!
0C:4D:E9:9F:1B:00,ITS8531WK-MX,172.22.21.230,its8531wk-mx.local,172.22.21.230,Match,No Match,14:B3:1F:00:61:BC,#VALUE!,#VALUE!
0C:4D:E9:9E:E4:E8,ITS8532WK-MX,172.22.21.231,its8532wk-mx.local,172.22.21.231,Match,No Match,14:B3:1F:00:7E:10,#VALUE!,#VALUE!
0C:4D:E9:9E:FB:E6,ITS8533WK-MX,172.22.21.232,its8533wk-mx.local,172.22.21.232,Match,No Match,14:B3:1F:00:74:85,#VALUE!,#VALUE!
0C:4D:E9:9E:E7:FD,ITS8534WK-MX,172.22.21.233,its8534wk-mx.local,172.22.21.233,Match,No Match,34:17:EB:A5:7B:30,#VALUE!,#VALUE!
0C:4D:E9:9E:DF:76,ITS8535WK-MX,172.22.21.234,its8535wk-mx.local,172.22.21.234,Match,No Match,34:17:EB:A5:79:70,#VALUE!,#VALUE!
0C:4D:E9:9E:FC:09,ITS8536WK-MX,172.22.21.235,ITS8536WK-MX,172.22.21.235,Match,Match,34:17:EB:B1:EA:C3,#VALUE!,#VALUE!
0C:4D:E9:9F:17:49,ITS8537WK-MX,172.22.21.236,its8537wk-mx.local,172.22.21.236,Match,No Match,34:17:EB:A5:BD:5F,#VALUE!,#VALUE!
0C:4D:E9:9E:F5:1E,ITS8538WK-MX,172.22.21.237,its8538wk-mx.local,172.22.21.237,Match,No Match,34:17:EB:B1:EC:4A,#VALUE!,#VALUE!
0C:4D:E9:9E:B8:09,ITS8539WK-MX,172.22.21.238,its8539wk-mx.local,172.22.21.238,Match,No Match,34:17:EB:A5:C2:1B,#VALUE!,#VALUE!
0C:4D:E9:9E:F6:59,ITS8540WK-MX,172.22.21.239,its8540wk-mx.local,172.22.21.239,Match,No Match,34:17:EB:A4:FC:66,#VALUE!,#VALUE!
0C:4D:E9:9E:E9:10,ITS8541WK-MX,172.22.21.240,its8541wk-mx.local,172.22.21.240,Match,No Match,34:17:EB:B1:74:3F,#VALUE!,#VALUE!
0C:4D:E9:D1:84:12,ITS8835WK-MX,172.22.210.5,its8835wk-mx.local,172.22.210.5,Match,No Match,34:17:EB:A4:FC:E9,#VALUE!,#VALUE!
0C:4D:E9:D2:79:00,ITS8836WK-MX,172.22.210.6,its8836wk-mx.local,172.22.210.6,Match,No Match,34:17:EB:A5:BC:64,#VALUE!,#VALUE!
0C:4D:E9:D3:B9:30,ITS8837WK-MX,172.22.210.7,its8837wk-mx.local,172.22.210.7,Match,No Match,34:17:EB:A5:B9:D0,#VALUE!,#VALUE!
0C:4D:E9:D1:7E:ED,ITS8838WK-MX,172.22.210.8,its8838wk-mx.local,172.22.210.8,Match,No Match,34:17:EB:A4:F8:DD,#VALUE!,#VALUE!
68:5B:35:80:DD:7D,ITS8871WK-MX,172.22.223.205,its8871wk-mx.local,172.22.223.205,Match,No Match,34:17:EB:B1:EF:24,#VALUE!,#VALUE!
68:5B:35:7F:52:43,ITS8872WK-MX,172.22.223.206,its8872wk-mx.local,172.22.223.206,Match,No Match,34:17:EB:B1:79:18,#VALUE!,#VALUE!
